#gene	pmid_counts
1434	115
2271	115
2317	115
2357	115
259	115
288	115
4211	115
4628	115
5122	115
5783	115
6097	115
6241	115
65217	115
6955	115
7155	115
717	115
80381	115
9414	115
988	115
1001	114
10165	114
10403	114
1152	114
1308	114
1816	114
1855	114
2520	114
25913	114
2592	114
26585	114
27316	114
3426	114
3646	114
3839	114
3915	114
3980	114
407046	114
5438	114
5883	114
6780	114
6957	114
7112	114
7324	114
9184	114
9446	114
9507	114
10049	113
110973015	113
1192	113
23236	113
23495	113
23513	113
23534	113
23600	113
3248	113
346389	113
3694	113
3855	113
3872	113
389421	113
5449	113
55937	113
6473	113
7167	113
79679	113
889	113
1284	112
136	112
1717	112
1755	112
3108	112
3911	112
406979	112
407000	112
407010	112
4133	112
4948	112
5055	112
55636	112
5715	112
574411	112
6367	112
64241	112
658	112
6829	112
7706	112
8658	112
9070	112
9101	112
9156	112
9188	112
10382	111
10666	111
11052	111
1573	111
2235	111
23633	111
2572	111
2801	111
309	111
3098	111
3625	111
3858	111
3929	111
4070	111
4267	111
4938	111
5036	111
5108	111
55832	111
5820	111
5861	111
6233	111
6283	111
6286	111
6440	111
6546	111
7850	111
80312	111
8294	111
831	111
8828	111
10128	110
1374	110
1653	110
1656	110
1827	110
23193	110
2562	110
26227	110
3615	110
3812	110
406934	110
407012	110
4345	110
445	110
4549	110
5004	110
51422	110
5717	110
57761	110
602	110
6373	110
8021	110
8835	110
908	110
915	110
917	110
92	110
9290	110
9343	110
10016	109
10332	109
1523	109
2217	109
22974	109
2879	109
31	109
5521	109
64581	109
6634	109
7114	109
9555	109
1158	108
1584	108
2132	108
2192	108
2206	108
2328	108
26047	108
3738	108
4043	108
406941	108
4082	108
4800	108
5009	108
5028	108
51564	108
51588	108
51744	108
5692	108
6134	108
6271	108
6601	108
7122	108
7226	108
7402	108
79084	108
80198	108
81620	108
85358	108
10482	107
106144573	107
112476	107
1326	107
1644	107
1729	107
1828	107
23186	107
2319	107
23213	107
23607	107
29843	107
3455	107
3594	107
3640	107
3909	107
406987	107
407026	107
4605	107
4760	107
4831	107
4920	107
51053	107
51330	107
55503	107
5753	107
7399	107
7410	107
80184	107
8573	107
86	107
8924	107
9722	107
10188	106
10574	106
1315	106
1476	106
322	106
3295	106
4686	106
47	106
4891	106
4908	106
493	106
4986	106
51085	106
5690	106
6505	106
6623	106
7036	106
10514	105
10725	105
1627	105
3074	105
34	105
3621	105
3810	105
407050	105
4680	105
490	105
54386	105
5602	105
5757	105
6605	105
667	105
6949	105
7188	105
8358	105
858	105
9025	105
914	105
91752	105
10236	104
10280	104
1066	104
10857	104
10911	104
11337	104
1808	104
1830	104
1917	104
201163	104
2255	104
2304	104
2555	104
2768	104
3687	104
4319	104
51079	104
6414	104
6423	104
64240	104
64682	104
6510	104
84433	104
8662	104
10020	103
10481	103
10516	103
11059	103
11277	103
1366	103
2011	103
2273	103
2752	103
3310	103
3912	103
3998	103
4017	103
406921	103
4301	103
50506	103
51280	103
5251	103
5313	103
5585	103
5653	103
6208	103
6434	103
6478	103
6750	103
7175	103
8260	103
8361	103
84152	103
8773	103
9861	103
10458	102
112399	102
1291	102
1408	102
1551	102
1896	102
191	102
26353	102
27183	102
3423	102
347	102
406932	102
5368	102
5473	102
5577	102
56998	102
5713	102
5782	102
